Volts (V),Current (A)
-80.0,1.9072e-07
-79.8,1.853e-07
-79.60000000000001,1.8824e-07
-79.4,1.8758e-07
-79.2,1.8848e-07
-79.0,1.8866e-07
-78.8,1.7802e-07
-78.60000000000001,1.9154e-07
-78.4,1.8022e-07
-78.2,1.79e-07
-78.0,1.7914e-07
-77.8,1.8336e-07
-77.60000000000001,1.8577999999999999e-07
-77.4,1.8184e-07
-77.2,1.7498e-07
-77.0,1.762e-07
-76.8,1.767e-07
-76.60000000000001,1.7932e-07
-76.4,1.8038e-07
-76.2,1.8292e-07
-76.0,1.8274e-07
-75.8,1.8022e-07
-75.60000000000001,1.7564e-07
-75.4,1.8224e-07
-75.2,1.8236e-07
-75.0,1.7865999999999999e-07
-74.8,1.776e-07
-74.60000000000001,1.8284e-07
-74.4,1.8346e-07
-74.2,1.8047999999999999e-07
-74.0,1.7879999999999999e-07
-73.8,1.8392e-07
-73.60000000000001,1.9294e-07
-73.4,1.8696e-07
-73.2,1.9078e-07
-73.0,1.8668e-07
-72.8,1.9182e-07
-72.60000000000001,1.8794e-07
-72.4,1.838e-07
-72.2,1.9376e-07
-72.0,1.9123999999999998e-07
-71.8,1.8362e-07
-71.60000000000001,1.7872e-07
-71.4,1.7648e-07
-71.2,1.7688e-07
-71.0,1.7248e-07
-70.8,1.762e-07
-70.60000000000001,1.767e-07
-70.4,1.8228e-07
-70.2,1.7898e-07
-70.0,1.753e-07
-69.8,1.717e-07
-69.60000000000001,1.7024e-07
-69.4,1.746e-07
-69.2,1.7447999999999998e-07
-69.0,1.7576e-07
-68.8,1.695e-07
-68.60000000000001,1.7736e-07
-68.4,1.7396e-07
-68.2,1.7488e-07
-68.0,1.7044e-07
-67.8,1.7851999999999999e-07
-67.6,1.8256e-07
-67.4,1.8778e-07
-67.2,1.7736e-07
-67.0,1.8334e-07
-66.8,1.7377999999999999e-07
-66.6,1.7486e-07
-66.4,1.7442e-07
-66.2,1.7128e-07
-66.0,1.6902e-07
-65.8,1.7405999999999998e-07
-65.6,1.843e-07
-65.4,1.7048e-07
-65.2,1.7478e-07
-65.0,1.7069999999999999e-07
-64.8,1.6584e-07
-64.6,1.6754e-07
-64.4,1.8064e-07
-64.2,1.8605999999999999e-07
-64.0,1.8394e-07
-63.800000000000004,1.8818e-07
-63.6,1.6926e-07
-63.4,1.7006e-07
-63.2,1.7272e-07
-63.0,1.7234e-07
-62.800000000000004,1.7078e-07
-62.6,1.8916e-07
-62.4,1.8481999999999998e-07
-62.2,1.7848e-07
-62.0,1.8089999999999999e-07
-61.800000000000004,1.7016e-07
-61.6,1.737e-07
-61.4,1.7082e-07
-61.2,1.6314e-07
-61.0,1.6214e-07
-60.800000000000004,1.7586e-07
