Volts (V),Current (A)
-0.05,-6.55556e-08
-0.0495,-6.41984e-08
-0.049,-6.386319999999999e-08
-0.0485,-6.423979999999999e-08
-0.048,-6.41124e-08
-0.0475,-6.16986e-08
-0.047,-6.826859999999999e-08
-0.0465,-6.43868e-08
-0.046,-6.30676e-08
-0.0455,-6.270159999999999e-08
-0.045000000000000005,-5.7654399999999996e-08
-0.044500000000000005,-5.6034e-08
-0.044000000000000004,-5.566139999999999e-08
-0.043500000000000004,-5.4870999999999995e-08
-0.043000000000000003,-5.1497599999999994e-08
-0.0425,-5.3156199999999994e-08
-0.042,-5.3215e-08
-0.0415,-5.235459999999999e-08
-0.041,-5.1891799999999995e-08
-0.0405,-5.1602599999999994e-08
-0.04,-4.959959999999999e-08
-0.0395,-5.00782e-08
-0.039,-4.8680599999999996e-08
-0.0385,-4.918179999999999e-08
-0.038,-4.7106799999999995e-08
-0.0375,-4.7289999999999995e-08
-0.037000000000000005,-4.599419999999999e-08
-0.036500000000000005,-4.54764e-08
-0.036000000000000004,-4.424639999999999e-08
-0.035500000000000004,-4.3652799999999996e-08
-0.035,-4.3459199999999997e-08
-0.0345,-4.2430599999999996e-08
-0.034,-4.1891599999999994e-08
-0.0335,-4.13144e-08
-0.033,-4.1754199999999995e-08
-0.0325,-4.1592399999999995e-08
-0.032,-3.97958e-08
-0.0315,-3.9337599999999996e-08
-0.031,-3.74098e-08
-0.030500000000000003,-3.78034e-08
-0.030000000000000002,-3.6772999999999995e-08
-0.029500000000000002,-3.64008e-08
-0.029,-3.5791e-08
-0.0285,-3.62372e-08
-0.028,-3.56784e-08
-0.0275,-3.5474e-08
-0.027,-3.5231399999999995e-08
-0.026500000000000003,-3.4520399999999996e-08
-0.026000000000000002,-3.3526399999999994e-08
-0.025500000000000002,-3.3544399999999994e-08
-0.025,-3.2749199999999995e-08
-0.0245,-3.1208e-08
-0.024,-3.07e-08
-0.0235,-3.01518e-08
-0.023,-2.9824199999999994e-08
